point,distance,x_desired,y_desired
0,0.0,1.7342129212788342,0.9566644215615421
1,0.01,1.7244223226780764,0.9546319719350248
2,0.02,1.714575249091987,0.9528912268863339
3,0.03,1.704691309095308,0.9513733409515395
4,0.04,1.6947783220752135,0.9500582786294621
5,0.05,1.6848414923869885,0.9489374260680573
6,0.060000000000000005,1.6748849893387283,0.9480073682543043
7,0.07,1.6649125363779345,0.9472676860932465
8,0.08,1.6549277044913941,0.9467199533066493
9,0.09,1.6449340896499987,0.9463672103905827
10,0.09999999999999999,1.6349354380137346,0.946213662256967
11,0.10999999999999999,1.6249357461813632,0.9462644924560575
12,0.11999999999999998,1.61493934980769,0.9465257423028653
13,0.12999999999999998,1.604951007734251,0.9470042271689253
14,0.13999999999999999,1.5949759857955288,0.9477074735109864
15,0.15,1.5850201426792738,0.9486436658689452
16,0.16,1.5750900191435453,0.949821595965735
17,0.17,1.565192930971069,0.9512506075005891
18,0.18000000000000002,1.5553370651793919,0.952940530899562
19,0.19000000000000003,1.545531578050943,0.9549016025398497
20,0.20000000000000004,1.5357866924283567,0.9571443630374166
21,0.21000000000000005,1.5261137903703905,0.9596795292800376
22,0.22000000000000006,1.516525495704975,0.9625178351850753
23,0.23000000000000007,1.5070357392867806,0.9656698368628016
24,0.24000000000000007,1.4976597979159068,0.9691456792104556
25,0.25000000000000006,1.4884142962112574,0.9729548231424408
26,0.26000000000000006,1.4793171595142545,0.9771057358650186
27,0.2700000000000001,1.4703875056112854,0.9816055508748031
28,0.2800000000000001,1.4615794422640456,0.9863402886490007
29,0.2900000000000001,1.452773333296688,0.9910786896624083
30,0.3000000000000001,1.4439657459455368,0.9958143421078515
31,0.3100000000000001,1.4351564127176129,1.0005467460143247
32,0.3200000000000001,1.4263449703454685,1.0052752215938694
33,0.3300000000000001,1.417530902531444,1.0099988013085466
34,0.34000000000000014,1.40871342875723,1.0147160198160914
35,0.35000000000000014,1.3998912592343287,1.0194244498164227
36,0.36000000000000015,1.391061939911958,1.0241194566324627
37,0.37000000000000016,1.3822193740756785,1.0287894553154282
38,0.38000000000000017,1.3733213288317314,1.0333514851459336
