point,distance,x_desired,y_desired
0,0.0,0.15078758216932983,0.9124374351408098
1,0.01,0.16078734378633372,0.9123683977998039
2,0.02,0.17078712586605968,0.9123023836646983
3,0.03,0.18078692220637727,0.9122385651130481
4,0.04,0.1907867306361376,0.9121766692229063
5,0.05,0.20078654991887604,0.9121165521502164
6,0.060000000000000005,0.21078637923506427,0.912058127629147
7,0.07,0.22078621798808507,0.9120013414252395
8,0.08,0.23078606572499144,0.9119461595659775
9,0.09,0.24078592207892402,0.9118925620788625
10,0.09999999999999999,0.2507857867486124,0.911840539333946
11,0.10999999999999999,0.2607856594805957,0.9117900897667222
12,0.11999999999999998,0.2707855400486634,0.9117412183966578
13,0.12999999999999998,0.2807854282547136,0.9116939358354299
14,0.13999999999999999,0.29078532391828027,0.9116482576136926
15,0.15,0.300785226869978,0.9116042037249981
16,0.16,0.31078513694785465,0.911561798324451
17,0.17,0.3207850539931061,0.9115210695424136
18,0.18000000000000002,0.3307849778514562,0.9114820493874488
19,0.19000000000000003,0.3407849083638669,0.9114447737216635
20,0.20000000000000004,0.35078484536891263,0.9114092822973687
21,0.21000000000000005,0.3607847886928387,0.911375618848248
22,0.22000000000000006,0.37078473815605795,0.911343831231014
23,0.23000000000000007,0.38078469355970845,0.9113139716160472
24,0.24000000000000007,0.3907846546920146,0.9112860967271195
25,0.25000000000000006,0.40078462131737874,0.911260268132196
26,0.26000000000000006,0.4107845931784311,0.9112365525886293
27,0.2700000000000001,0.42078456998022795,0.9112150224477863
28,0.2800000000000001,0.43078455139716154,0.911195756125603
29,0.2900000000000001,0.44078453706414056,0.911178838647608
30,0.3000000000000001,0.4507845265600392,0.9111643622789365
31,0.3100000000000001,0.4607845194087242,0.9111524272523854
32,0.3200000000000001,0.47078451506943186,0.9111431426107034
33,0.3300000000000001,0.4807845129126349,0.9111366271830121
34,0.34000000000000014,0.4907845122216614,0.911133010719925
35,0.35000000000000014,0.5007845121656499,0.9111324352179369
36,0.36000000000000015,0.5107845117771165,0.9111350564711135
37,0.37000000000000016,0.5207845099329097,0.9111410458978757
38,0.38000000000000017,0.5307845053203526,0.9111505927032834
39,0.3900000000000002,0.5407844963940892,0.911163906453804
40,0.4000000000000002,0.5507844813360272,0.9111812201636151
41,0.4100000000000002,0.560784457983943,0.9112027940210313
42,0.4200000000000002,0.5707844237621285,0.9112289199240098
43,0.4300000000000002,0.5807843755841554,0.9112599270491466
44,0.4400000000000002,0.590784309713718,0.9112961887562534
45,0.45000000000000023,0.6007842216104619,0.9113381312412343
46,0.46000000000000024,0.6107841056911882,0.9113862445095336
47,0.47000000000000025,0.6207839550463329,0.9114410964786825
48,0.48000000000000026,0.6307837610086703,0.9115033513735308
49,0.49000000000000027,0.640783512586724,0.9115737941276605
50,0.5000000000000002,0.6507831956306731,0.9116533633760279
51,0.5100000000000002,0.6607827916224599,0.9117431970526241
52,0.5200000000000002,0.6707822758476845,0.911844697031266
53,0.5300000000000002,0.6807816145496858,0.9119596235377637
54,0.5400000000000003,0.6907807602979705,0.9120902380324452
55,0.5500000000000003,0.7007796440993739,0.912239528964089
56,0.5600000000000003,0.7107781611059428,0.9124115880144072
57,0.5700000000000003,0.7207638874623611,0.91289770333006
58,0.5800000000000003,0.7306772092903165,0.9141895667595531
59,0.5900000000000003,0.7404484210925056,0.916302620338421
60,0.6000000000000003,0.7500094577680577,0.9192230965617774
61,0.6100000000000003,0.759299515511302,0.9229164121656661
62,0.6200000000000003,0.768269512140322,0.9273311207250584
63,0.6300000000000003,0.7768844062211557,0.932404554621596
64,0.6400000000000003,0.7851232819496243,0.9380687361871031
65,0.6500000000000004,0.7929777425559156,0.9442554263287161
66,0.6600000000000004,0.8004494051105624,0.9508997528112395
67,0.6700000000000004,0.8075471980161189,0.9579423814295079
68,0.6800000000000004,0.8142849138391555,0.9653304970266948
69,0.6900000000000004,0.8206792237680345,0.9730179554735955
70,0.7000000000000004,0.8267481885895456,0.9809649345341889
71,0.7100000000000004,0.8325102102087606,0.9891373294622554
72,0.7200000000000004,0.837983334607612,0.9975060553369296
73,0.7300000000000004,0.8431848163703801,1.0060463517980833
74,0.7400000000000004,0.8481308682216955,1.014737140109909
75,0.7500000000000004,0.8528365360123901,1.0235604539212655
76,0.7600000000000005,0.8573156552316623,1.0325009485358516
77,0.7700000000000005,0.8615808579014334,1.0415454849849508
78,0.7800000000000005,0.865643608227948,1.0506827812362296
79,0.7900000000000005,0.8695142522101822,1.0599031216360384
80,0.8000000000000005,0.8732020710790693,1.0691981158942048
81,0.8100000000000005,0.8767153314109903,1.0785604996896039
82,0.8200000000000005,0.8800613265084735,1.087983970133279
83,0.8300000000000005,0.8832464042879997,1.097463050420391
84,0.8400000000000005,0.8862759765904272,1.1069929791160078
85,0.8500000000000005,0.8891545033589329,1.1165696206428335
86,0.8600000000000005,0.8918854419485023,1.126189394535158
87,0.8700000000000006,0.8944711458931253,1.135849222270867
88,0.8800000000000006,0.8969126862291521,1.1455464920337983
89,0.8900000000000006,0.8992095464410859,1.1552790440956233
90,0.9000000000000006,0.901359095971659,1.165045183799198
91,0.9100000000000006,0.9033556416874411,1.174843737846311
92,0.9200000000000006,0.9051885854110071,1.1846741900638729
93,0.9300000000000006,0.9068383973379956,1.194536987846213
94,0.9400000000000006,0.9082659852500105,1.2044342868984472
95,0.9500000000000006,0.9093729453514781,1.214372092851379
96,0.9600000000000006,0.9095724946331336,1.2243525139290974
97,0.9700000000000006,0.9091628952533728,1.2343422863058868
98,0.9800000000000006,0.9092059855368103,1.2443417060638695
99,0.9900000000000007,0.909556924629175,1.254335213883696
100,1.0000000000000007,0.9101768096165753,1.2643157030054815
101,1.0100000000000007,0.9110488319531563,1.2742773518730475
102,1.0200000000000007,0.9121652587911508,1.2842145867834944
103,1.0300000000000007,0.9135231658741699,1.2941217132483036
104,1.0400000000000007,0.9151225788301163,1.3039927243896883
105,1.0500000000000007,0.9169655145767187,1.3138211733406733
106,1.0600000000000007,0.9190554227735431,1.323600072975812
107,1.0700000000000007,0.921396824828159,1.3333218087565952
108,1.0800000000000007,0.9239950560647656,1.3429780588895832
109,1.0900000000000007,0.9268560619385006,1.3525597199077655
110,1.1000000000000008,0.9299862202480018,1.3620568379649238
111,1.1100000000000008,0.9333921720159762,1.3714585476861365
112,1.1200000000000008,0.9370806497009536,1.3807530217751587
113,1.1300000000000008,0.9410582951397041,1.3899274357134286
114,1.1400000000000008,0.9453314624076338,1.3989679530129222
115,1.1500000000000008,0.9499060032615568,1.4078597374102966
116,1.1600000000000008,0.9547870353807333,1.4165869990091384
117,1.1700000000000008,0.9599786964228019,1.4251330814699135
118,1.1800000000000008,0.9654838900506754,1.4334805967788797
119,1.1900000000000008,0.971304033305485,1.4416116124300697
120,1.2000000000000008,0.9774388179070701,1.4495078932092695
121,1.2100000000000009,0.9838860005577964,1.4571511957184262
122,1.2200000000000009,0.9906412388144897,1.4645236089201463
123,1.2300000000000009,0.9976979887598528,1.4716079283865604
124,1.2400000000000009,1.0050474783717311,1.4783880466611434
125,1.2500000000000009,1.0126787658695142,1.4848493378582468
126,1.260000000000001,1.0205788858446672,1.4909790123988054
127,1.270000000000001,1.0287330783968895,1.4967664182521292
128,1.280000000000001,1.0371250888923516,1.5022032684533206
129,1.290000000000001,1.0457375196438425,1.5072837807230417
130,1.300000000000001,1.0545522106702627,1.5120047227445819
131,1.310000000000001,1.0635506255202012,1.5163653649740634
132,1.320000000000001,1.072714219637789,1.5203673503047366
133,1.330000000000001,1.0820247727845649,1.5240144956907224
134,1.340000000000001,1.0914646722802446,1.5273125441326323
135,1.350000000000001,1.1010171397609982,1.5302688864010194
136,1.360000000000001,1.1106663994946915,1.5328922706711705
137,1.370000000000001,1.1203977908310343,1.5351925156319648
138,1.380000000000001,1.1301978304530607,1.537180239151343
139,1.390000000000001,1.1400542320656954,1.5388666109530054
140,1.400000000000001,1.149955891790919,1.540263134329232
141,1.410000000000001,1.1598928475264274,1.5413814590664416
142,1.420000000000001,1.169856219716013,1.542233225515408
143,1.430000000000001,1.1798381400300895,1.5428299381778694
144,1.440000000000001,1.189831673227141,1.5431828661744382
145,1.450000000000001,1.1998307363505785,1.543302967436433
146,1.460000000000001,1.209830018404482,1.5432008332877016
147,1.470000000000001,1.2198249389774414,1.5428876663482511
148,1.480000000000001,1.2298111486448808,1.542366280324205
149,1.490000000000001,1.239783643394355,1.5416278802719061
150,1.500000000000001,1.249736784701749,1.5406632594381482
151,1.5100000000000011,1.2596642450569682,1.5394629913426676
152,1.5200000000000011,1.269558950418869,1.5380174868696834
153,1.5300000000000011,1.2794130247968167,1.536317067118715
154,1.5400000000000011,1.2892177395479092,1.534352053905887
155,1.5500000000000012,1.2989634706255222,1.532112879511365
156,1.5600000000000012,1.3086396676130732,1.529590216750199
157,1.5700000000000012,1.3182348390488046,1.526775129611401
158,1.5800000000000012,1.3277365589478454,1.5236592435709422
159,1.5900000000000012,1.337131499649186,1.5202349331880514
160,1.6000000000000012,1.346405495908421,1.5164955227949037
161,1.6100000000000012,1.355543644419007,1.5124354940800504
162,1.6200000000000012,1.3645304415663553,1.508050692317848
163,1.6300000000000012,1.3733499601586292,1.5033385211538184
164,1.6400000000000012,1.381986063146813,1.498298114544585
165,1.6500000000000012,1.3904226491673333,1.4929304739774922
166,1.6600000000000013,1.3986439213932944,1.487238559751964
167,1.6700000000000013,1.4066346680988544,1.4812273270504952
168,1.6800000000000013,1.414380541034807,1.4749037007082384
169,1.6900000000000013,1.4218683165849129,1.4682764867652944
170,1.7000000000000013,1.429086125005928,1.461356223600342
171,1.7100000000000013,1.4360236349861364,1.4541549800277107
172,1.7200000000000013,1.4426721839819705,1.4466861116442407
173,1.7300000000000013,1.4490248489520534,1.4389639893587503
174,1.7400000000000013,1.4550764565409853,1.4310037152066588
175,1.7500000000000013,1.460823535966103,1.422820840110629
176,1.7600000000000013,1.4662642212105441,1.414431096532768
177,1.7700000000000014,1.4713981113785861,1.4058501562865686
178,1.7800000000000014,1.4762260990828868,1.3970934206167664
179,1.7900000000000014,1.4807501765259865,1.3881758465384066
180,1.8000000000000014,1.4849732278018337,1.379111810526232
181,1.8100000000000014,1.4888988139651482,1.3699150084057137
182,1.8200000000000014,1.4925309548894223,1.360598388653363
183,1.8300000000000014,1.4958739089000286,1.351174115278174
184,1.8400000000000014,1.4989319474252698,1.341653556137471
