point,distance,x_desired,y_desired
0,0.0,1.7342129212788342,2.689926248543073
1,0.01,1.7242397745564026,2.68921831914163
2,0.02,1.7143122257088628,2.6880225278071634
3,0.03,1.7044373871487122,2.686448790539706
4,0.04,1.6946240392273515,2.6845282947662126
5,0.05,1.6848818993503796,2.682274154727936
6,0.060000000000000005,1.6752216347475857,2.679691575027204
7,0.07,1.665654926952124,2.6767815379973263
8,0.08,1.6561945355335355,2.673542580675864
9,0.09,1.6468543468891685,2.6699718311654244
10,0.09999999999999999,1.6376493991636063,2.666065713941506
11,0.10999999999999999,1.6285958746953528,2.6618204955206686
12,0.11999999999999998,1.6197110508860884,2.6572327497808534
13,0.12999999999999998,1.6110132002876847,2.6522997801418238
14,0.13999999999999999,1.6025214315118148,2.647020013350959
15,0.15,1.5942554647808609,2.6413933658334416
16,0.16,1.5862353396454458,2.6354215741836424
17,0.17,1.5784810578942707,2.6291084751395153
18,0.18000000000000002,1.5710121713763618,2.6224602169243716
19,0.19000000000000003,1.563847331968074,2.6154853836736827
20,0.20000000000000004,1.5570038277341565,2.6081950177511617
21,0.21000000000000005,1.5504971345156093,2.600602531283234
22,0.22000000000000006,1.5443405140720672,2.5927235071470127
23,0.23000000000000007,1.5385446879844975,2.5845753998342396
24,0.24000000000000007,1.533117610505108,2.5761771561300137
25,0.25000000000000006,1.528064354374998,2.567548782804732
26,0.26000000000000006,1.5233871127500365,2.558710892160507
27,0.2700000000000001,1.5190853097025916,2.5496842559312847
28,0.2800000000000001,1.5151558029295455,2.540489394016779
29,0.2900000000000001,1.5115931564865015,2.531146217990035
30,0.3000000000000001,1.508389958947746,2.521673741606725
31,0.3100000000000001,1.505537163059953,2.512089862966029
32,0.3200000000000001,1.5030244259703835,2.502411216580527
33,0.3300000000000001,1.5008404334920098,2.492653088934946
34,0.34000000000000014,1.4989731966977056,2.482829388211371
35,0.35000000000000014,1.4974103137407484,2.47295265763419
36,0.36000000000000015,1.4961391937085193,2.4630341218691125
37,0.37000000000000016,1.4951472423631524,2.4530837568513717
38,0.38000000000000017,1.4944220117438298,2.4431103746665377
39,0.3900000000000002,1.493951316960481,2.433121716762827
40,0.4000000000000002,1.493666217861611,2.4231258244792575
41,0.4100000000000002,1.493261861857244,2.413134113022128
42,0.4200000000000002,1.4926955944931544,2.4031502680574746
43,0.4300000000000002,1.4919682480606673,2.39317686313756
44,0.4400000000000002,1.491080774603297,2.383216428863514
45,0.45000000000000023,1.490034239718856,2.373271447807977
46,0.46000000000000024,1.4888298159302953,2.3633443499541995
47,0.47000000000000025,1.4874687756851195,2.353437508657158
48,0.48000000000000026,1.4859524840498342,2.3435532371822076
49,0.49000000000000027,1.4842823911560266,2.3336937857948836
50,0.5000000000000002,1.4824600244587522,2.323861339428105
51,0.5100000000000002,1.480486980862659,2.31405801592638
52,0.5200000000000002,1.4783649187646448,2.3042858648522326
53,0.5300000000000002,1.4760955500630724,2.2945468668683593
54,0.5400000000000003,1.4736806321684357,2.284842933659528
55,0.5500000000000003,1.471121960051488,2.275175908396076
56,0.5600000000000003,1.4684213583579582,2.2655475667343894
57,0.5700000000000003,1.4655806736034025,2.255959618320272
58,0.5800000000000003,1.4626017664623197,2.246413708798219
59,0.5900000000000003,1.4594865041555272,2.236911422322795
60,0.6000000000000003,1.4562367529221278,2.2274542845473073
61,0.6100000000000003,1.4528543705632508,2.2180437661080754
62,0.6200000000000003,1.4493411990304115,2.208681286616988
63,0.6300000000000003,1.4456990570061148,2.199368219152943
64,0.6400000000000003,1.4419297324319407,2.19010589531846
65,0.6500000000000004,1.438034974900845,2.180895610885629
66,0.6600000000000004,1.4340164878137591,2.171738632094246
67,0.6700000000000004,1.4298759201868239,2.162636202722215
68,0.6800000000000004,1.4256148579325447,2.153589552017618
69,0.6900000000000004,1.4212348144205043,2.1445999036951062
70,0.7000000000000004,1.4167372200444281,2.1356684862203106
71,0.7100000000000004,1.4121234104346922,2.1267965446870596
72,0.7200000000000004,1.407394612849467,2.1179853547357808
73,0.7300000000000004,1.4025519300956149,2.1092362391021644
74,0.7400000000000004,1.3975963210866182,2.100550587636551
75,0.7500000000000004,1.392528576765928,2.0919298819830354
76,0.7600000000000005,1.3873492895647288,2.0833757266844177
77,0.7700000000000005,1.3820588136260745,2.074889889309609
78,0.7800000000000005,1.37665721154906,2.066474353679628
79,0.7900000000000005,1.3711441808072033,2.0581313927049187
80,0.8000000000000005,1.3655189483179477,2.0498636717917043
81,0.8100000000000005,1.3597801126428017,2.041674402318062
82,0.8200000000000005,1.3539253945788179,2.0335675823971675
83,0.8300000000000005,1.3479512138641077,2.0255484027741546
84,0.8400000000000005,1.3418518964067008,2.01762400247599
85,0.8500000000000005,1.3356179525297538,2.009805100990433
86,0.8600000000000005,1.3292312331979617,2.0021105656008795
