point,distance,x_desired,y_desired
0,0.0,1.7342129212788342,2.6910385972961093
1,0.01,1.7244223226780764,2.6930710469226264
2,0.02,1.714575249091987,2.6948117919713175
3,0.03,1.704691309095308,2.696329677906112
4,0.04,1.6947783220752135,2.69764474022819
5,0.05,1.6848414923869885,2.6987655927895946
6,0.060000000000000005,1.6748849893387283,2.6996956506033474
7,0.07,1.6649125363779345,2.7004353327644055
8,0.08,1.6549277044913941,2.7009830655510028
9,0.09,1.6449340896499987,2.7013358084670696
10,0.09999999999999999,1.6349354380137346,2.7014893566006855
11,0.10999999999999999,1.6249357461813632,2.7014385264015948
12,0.11999999999999998,1.61493934980769,2.7011772765547875
13,0.12999999999999998,1.604951007734251,2.7006987916887275
14,0.13999999999999999,1.5949759857955288,2.6999955453466664
15,0.15,1.5850201426792738,2.6990593529887077
16,0.16,1.5750900191435453,2.697881422891918
17,0.17,1.5651929309710693,2.6964524113570643
18,0.18000000000000002,1.5553370651793919,2.6947624879580916
19,0.19000000000000003,1.545531578050943,2.692801416317804
20,0.20000000000000004,1.5357866924283567,2.690558655820237
21,0.21000000000000005,1.5261137903703905,2.688023489577616
22,0.22000000000000006,1.5165254957049747,2.6851851836725786
23,0.23000000000000007,1.5070357392867806,2.6820331819948526
24,0.24000000000000007,1.4976597979159068,2.678557339647199
25,0.25000000000000006,1.4884142962112574,2.674748195715214
26,0.26000000000000006,1.4793171595142545,2.670597282992636
27,0.2700000000000001,1.4703875056112854,2.6660974679828517
28,0.2800000000000001,1.4615794422640456,2.6613627302086504
29,0.2900000000000001,1.4527733332966877,2.656624329195243
30,0.3000000000000001,1.4439657459455368,2.6518886767498
31,0.3100000000000001,1.4351564127176129,2.647156272843327
32,0.3200000000000001,1.4263449703454683,2.642427797263782
33,0.3300000000000001,1.417530902531444,2.6377042175491052
34,0.34000000000000014,1.40871342875723,2.6329869990415604
35,0.35000000000000014,1.3998912592343284,2.628278569041229
36,0.36000000000000015,1.391061939911958,2.623583562225189
37,0.37000000000000016,1.3822193740756785,2.6189135635422236
38,0.38000000000000017,1.3733213288317314,2.6143515337117185
